"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
agata;Agata;"Accesorios  > Collares";;;;;;;60,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Este elegante collar dorado multicadena es la pieza perfecta para realzar cualquier look. Compuesto por varias capas finas con detalles de cuentas brillantes y discos met&aacute;licos, ofrece un estilo sofisticado y moderno. El toque final lo da un delicado dije en forma de estrella con incrustaciones brillantes, ideal para quienes buscan un accesorio con personalidad y brillo sutil.</p>";;;;;SI;;;;12,000.00
hermes-naranja-plateado;"Hermes Naranja Plateado";"Accesorios  > Pulseras ";;;;;;;55,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>A&ntilde;ade un toque de color y elegancia a tu look con esta sofisticada pulsera r&iacute;gida esmaltada en un vibrante tono naranja. Su dise&ntilde;o moderno se complementa con un acabado met&aacute;lico plateado y un ic&oacute;nico cierre en forma de &ldquo;H&rdquo; que la hace destacar por su estilo contempor&aacute;neo y refinado.</p>";;;;;SI;;;;5,500.00
trebol-negro-acero-grande-con-strass-de-un-lado;"Trebol Negro Acero Grande - Con STRASS de un lado";"Accesorios  > Pulseras ";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Elegancia y distinci&oacute;n se unen en esta pulsera tipo tr&eacute;bol de cuatro hojas, alternando apliques en color negro con detalles de cristal incrustado. Cada m&oacute;dulo est&aacute; finamente trabajado con bordes met&aacute;licos texturizados que realzan el brillo y aportan sofisticaci&oacute;n a tu estilo.</p>";;;;;SI;;;;5,500.00
life-plateada;"Life - Plateada";"Accesorios  > Pulseras ";;;;;;;45,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""95"" data-end=""169""><strong data-start=""95"" data-end=""169"">Pulsera R&iacute;gida Plateada con Cristales y Detalle Central Estilo Cl&aacute;sico</strong></p>
<p>&nbsp;</p>
<p data-start=""171"" data-end=""486"">Refinada y brillante, esta pulsera r&iacute;gida en tono plateado es una joya que destaca por su dise&ntilde;o limpio y elegante. Su estructura est&aacute; completamente adornada con peque&ntilde;os cristales que aportan un brillo sutil, mientras que el centro luce un detalle circular entrelazado que realza su estilo sofisticado y atemporal.</p>";;;;;SI;;;;7,700.00
pulsera-love;"Pulsera Love";"Accesorios  > Pulseras ";;;;;;;35,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Una joya delicada y rom&aacute;ntica que dice m&aacute;s que mil palabras. Esta pulsera ajustable en tono dorado est&aacute; decorada con brillantes incrustaciones tipo diamante y lleva el mensaje &ldquo;LOVE&rdquo; en letras doradas, ideal para regalar o complementar un look lleno de estilo y dulzura.</p>";;;;;SI;;;;63,000.00
life-dorada;"Life - Dorada";"Accesorios  > Pulseras ";;;;;;;45,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""95"" data-end=""169""><strong data-start=""95"" data-end=""169"">Pulsera R&iacute;gida Dorada con Cristales y Detalle Central Estilo Cl&aacute;sico</strong></p>
<p data-start=""171"" data-end=""486"">Refinada y brillante, esta pulsera r&iacute;gida en tono dorado es una joya que destaca por su dise&ntilde;o limpio y elegante. Su estructura est&aacute; completamente adornada con peque&ntilde;os cristales que aportan un brillo sutil, mientras que el centro luce un detalle circular entrelazado que realza su estilo sofisticado y atemporal.</p>";;;;;SI;;;;7,700.00
van-negra;"Van Negra";"Accesorios  > Pulseras ";;;;;;;45,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Elegancia y sofisticaci&oacute;n en una sola pieza. Esta pulsera r&iacute;gida dorada se destaca por sus delicados detalles en forma de tr&eacute;bol con fondo negro, que le aportan un toque distintivo y refinado. Ideal para combinar con otros accesorios dorados o usar como protagonista.</p>";;;;;SI;;;;8,500.00
hermes-negro-dorado-grande;"Hermes Negro Dorado Grande";"Accesorios  > Pulseras ";;;;;;;65,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Dise&ntilde;o moderno y elegante que nunca pasa de moda. Esta pulsera r&iacute;gida dorada incorpora detalles en esmalte negro y un cierre frontal en forma de ""H"", creando un estilo sofisticado y distintivo.</p>";;;;;SI;;;;11,500.00
hermes-blanco-dorado-grande;"Hermes Blanco Dorado Grande";"Accesorios  > Pulseras ";;;;;;;65,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Dise&ntilde;o moderno y elegante que nunca pasa de moda. Esta pulsera r&iacute;gida dorada incorpora detalles en esmalte blanco y un cierre frontal en forma de ""H"", creando un estilo sofisticado y distintivo.</p>";;;;;SI;;;;11,500.00
trebol-plateado;"Trebol - Plateado";"Accesorios  > Pulseras ";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Elegancia y encanto en cada detalle. Esta pulsera combina tr&eacute;boles y cristales brillantes, todo enmarcado en un dise&ntilde;o plateado delicado y sofisticado.</p>";;;;;SI;;;;3,000.00
hermes-negro-dorado;"Hermes Negro Dorado";"Accesorios  > Pulseras ";;;;;;;55,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Una pieza ic&oacute;nica y sofisticada. Esta pulsera r&iacute;gida con dise&ntilde;o en esmalte negro y detalles dorados es el complemento ideal para un look elegante y moderno.</p>";;;;;SI;;;;10,000.00
trebol-dorado-con-strass;"Trebol - Dorado con strass";"Accesorios  > Pulseras ";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Elegancia y buena suerte en una sola pieza. Esta pulsera r&iacute;gida dorada con detalles de tr&eacute;boles decorados con strass es el toque de brillo ideal para tu outfit.</p>";;;;;SI;;;;6,500.00
hermes-dorada;"Hermes Dorada";"Accesorios  > Pulseras ";;;;;;;55,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Descubre la exquisita belleza de nuestra Pulsera Hermes Dorada, un accesorio que combina dise&ntilde;o ic&oacute;nico y un acabado brillante que realza cualquier look. Fabricada con materiales de alta calidad y un tono dorado impecable, esta pulsera es el complemento perfecto para quienes buscan estilo y distinci&oacute;n en cada detalle.</p>";;;;;SI;;;;10,000.00
hermes-nacar-dorado;"Hermes Nacar Dorado";"Accesorios  > Pulseras ";;;;;;;55,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Luce un accesorio &uacute;nico con nuestra Pulsera Hermes N&aacute;car Dorado, que combina la delicadeza del n&aacute;car con el lujo del acabado dorado. Este dise&ntilde;o sofisticado refleja un equilibrio perfecto entre modernidad y tradici&oacute;n, ideal para quienes buscan un detalle distinguido y vers&aacute;til.</p>";;;;;SI;;;;10,000.00
miranda;Miranda;"Accesorios  > Pulseras ";;;;;;;55,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>A&ntilde;ade un toque de lujo y sofisticaci&oacute;n a tu look con nuestra Pulsera Dorada con Strass, un accesorio deslumbrante que captura la luz en cada movimiento. El metal dorado combinado con los brillantes cristales strass crea una pieza perfecta para quienes buscan elegancia y un toque de glamour.</p>";;;;;SI;;;;8,500.00
aros-trebol-plateado;"Aros trébol plateado";"Accesorios  > Aros";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Luce unos aros delicados y llenos de significado con nuestros Aros Tr&eacute;bol Plateado. Este dise&ntilde;o inspirado en el tr&eacute;bol de la suerte combina la belleza del metal plateado con un toque simb&oacute;lico que aporta personalidad y estilo a tu look diario.</p>";;;;;SI;;;;3,000.00
gwen;Gwen;"Accesorios  > Aros";;;;;;;25,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Destaca con estos aros largos plateados adornados con brillantes cristales strass que capturan la luz en cada giro. Su dise&ntilde;o sofisticado y moderno aporta un toque glamuroso ideal para complementar tanto looks de d&iacute;a como de noche.</p>";;;;;SI;;;;3,000.00
brenda;Brenda;"Accesorios  > Aros";;;;;;;25,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Descubre la belleza de la simplicidad con estos aros largos finos, dise&ntilde;ados para quienes prefieren un estilo sutil pero sofisticado. Su dise&ntilde;o delicado y alargado aporta un toque elegante que combina perfectamente con cualquier outfit, desde lo casual hasta lo formal.</p>";;;;;SI;;;;3,000.00
yuli;Yuli;"Accesorios  > Aros";;;;;;;28,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Eleva tu estilo con estos elegantes aros largos dorados adornados con cristales strass plateados que capturan la luz con cada movimiento. La combinaci&oacute;n del dorado c&aacute;lido con el brillo fr&iacute;o de los strass crea un contraste sofisticado, perfecto para destacar en cualquier ocasi&oacute;n.</p>";;;;;SI;;;;3,000.00
mini-chic-plateado;"Mini Chic Plateado";"Accesorios  > Aros";;;;;;;28,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Dale un toque contempor&aacute;neo y sofisticado a tu look con estos aros largos tipo eslabones en acabado plateado, decorados con brillantes cristales strass. Su dise&ntilde;o &uacute;nico y audaz combina la fuerza del eslab&oacute;n con el glamour del brillo, ideales para quienes buscan destacar con elegancia.</p>";;;;;SI;;;;4,000.00
irina;Irina;"Accesorios  > Aros";;;;;;;36,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>A&ntilde;ade un toque de sofisticaci&oacute;n a tu look con estos aros dorados adornados con deslumbrantes cristales strass. Su dise&ntilde;o cl&aacute;sico y elegante los convierte en el complemento perfecto para cualquier ocasi&oacute;n, desde eventos formales hasta tu d&iacute;a a d&iacute;a.</p>";;;;;SI;;;;7,500.00
lima;Lima;"Accesorios  > Aros";;;;;;;33,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Lleva un aire bohemio y sofisticado con estos aros dorados en elegante forma de V. Su dise&ntilde;o moderno y delicado combina el brillo sutil del cristal con la calidez del dorado, creando un accesorio perfecto para complementar cualquier look con personalidad y estilo.</p>";;;;;SI;;;;5,000.00
aros-trebol-blaco;"Aros trébol blaco";"Accesorios  > Aros";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Luce un s&iacute;mbolo de buena fortuna con nuestros delicados aros tr&eacute;bol blanco. Su dise&ntilde;o puro y minimalista en tonos claros aporta frescura y sofisticaci&oacute;n a cualquier look, convirti&eacute;ndolos en el accesorio perfecto para el d&iacute;a a d&iacute;a o momentos especiales.</p>";;;;;SI;;;;4,000.00
aros-trebol-dorado;"Aros trébol dorado";"Accesorios  > Aros";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Luce un s&iacute;mbolo de buena fortuna con nuestros encantadores aros tr&eacute;bol dorado. Su dise&ntilde;o delicado y acabado dorado brillante aportan un toque sofisticado y atemporal a cualquier look, ideal para quienes buscan un accesorio con significado y estilo.</p>";;;;;SI;;;;4,000.00
aros-trebol-negro;"Aros trébol negro";"Accesorios  > Aros";;;;;;;30,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Luce un s&iacute;mbolo de buena fortuna con nuestros encantadores aros tr&eacute;bol dorado. Su dise&ntilde;o delicado y acabado negro aportan un toque sofisticado y atemporal a cualquier look, ideal para quienes buscan un accesorio con significado y estilo.</p>";;;;;SI;;;;4,000.00
short-amelia;"Short Amelia";Inferiores;Color;Blanco;Talle;S;;;40,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Amelia es la pieza perfecta para quienes buscan un accesorio que combine simplicidad y sofisticaci&oacute;n. Su dise&ntilde;o cuidado y elegante aporta un toque especial que realza cualquier outfit, desde los looks casuales hasta los m&aacute;s formales. Ideal para mujeres que valoran la belleza en los detalles y la versatilidad en sus accesorios.</p>";;;;;SI;;;;
short-amelia;;;Color;Blanco;Talle;M;;;40,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
short-amelia;;;Color;Negro;Talle;S;;;40,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
short-amelia;;;Color;Negro;Talle;M;;;40,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;"Pantalón Simone";Inferiores;Color;Blanco;Talle;S;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>El pantal&oacute;n sastrero Simone es la pieza clave para un look sofisticado y profesional. Con un corte impecable y detalles pensados para realzar la figura, este pantal&oacute;n combina comodidad y estilo para que puedas lucir impecable en cualquier ocasi&oacute;n.</p>";;;;;SI;;;;
pantalon-simone;;;Color;Blanco;Talle;M;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Blanco;Talle;L;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Gris;Talle;S;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Gris;Talle;M;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Gris;Talle;L;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Negro;Talle;S;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Negro;Talle;M;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
pantalon-simone;;;Color;Negro;Talle;L;;;99,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-malala;"Vestido Malala";Superiores;Color;Negro;;;;;55,000.00;42,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>El vestido ajustado Malala sin mangas es la elecci&oacute;n perfecta para resaltar tu figura con estilo y comodidad. Su dise&ntilde;o ce&ntilde;ido realza las curvas de manera delicada, mientras que la ausencia de mangas aporta frescura y un look moderno ideal para diversas ocasiones.</p>";;;;;SI;;;;
vestido-malala;;;Color;Blanco;;;;;55,000.00;42,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-marie-white;"Top Marie White";Superiores;Color;Blanco;;;;;70,000.00;45,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>El Top Marie White destaca por su dise&ntilde;o &uacute;nico de una sola manga tipo musculosa, que combina comodidad y un toque moderno para cualquier ocasi&oacute;n. Su color blanco puro aporta frescura y versatilidad, perfecto para crear looks desde casuales hasta sofisticados con facilidad.</p>";;;;;SI;;;;
top-marie-black;"Top Marie Black";Superiores;Color;Negro;;;;;70,000.00;45,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>El Top Marie Black destaca por su dise&ntilde;o &uacute;nico de una sola manga tipo musculosa, que combina comodidad y un toque moderno para cualquier ocasi&oacute;n. Su color negro aporta frescura y versatilidad, perfecto para crear looks desde casuales hasta sofisticados con facilidad.</p>";;;;;SI;;;;
top-ada;"Top Ada";Superiores;Color;Gris;;;;;35,000.00;22,820.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Este top con mangas tipo tiras ofrece un dise&ntilde;o elegante y refinado, ideal para ocasiones formales o eventos donde se requiere un estilo sofisticado pero discreto. Su corte impecable y detalles delicados realzan la figura con gracia, aportando un toque de feminidad y modernidad a tu outfit.</p>";;;;;SI;;;;
top-ada;;;Color;Negro;;;;;35,000.00;22,820.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-frida;"Top Frida";Superiores;Color;Negro;;;;;28,000.00;20,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Esta musculosa negra destaca por su delicado detalle de encaje, que a&ntilde;ade un toque de sofisticaci&oacute;n y sensualidad discreta a una prenda b&aacute;sica. Su dise&ntilde;o ajustado y el acabado fino hacen que sea perfecta para combinar en looks formales o casuales con estilo.</p>";;;;;SI;;;;
top-cleo;"Top Cleo";Superiores;Color;Blanco;;;;;38,000.00;30,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>El Top Musculosa Cleo en color negro combina la sencillez cl&aacute;sica con un detalle &uacute;nico: una argolla met&aacute;lica en una de sus mangas que aporta un toque de personalidad y sofisticaci&oacute;n. Su corte ajustado y dise&ntilde;o minimalista hacen que sea una prenda vers&aacute;til para looks casuales o m&aacute;s arreglados.</p>";;;;;SI;;;;
top-cleo;;;Color;Negro;;;;;38,000.00;30,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rose;"Top Rose";Superiores;Color;Blanco;;;;;55,000.00;26,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p>Este top musculosa es un b&aacute;sico esencial que no puede faltar en tu guardarropa. Disponible en negro, blanco y gris, ofrece opciones vers&aacute;tiles para combinar f&aacute;cilmente con cualquier outfit. Su dise&ntilde;o simple y c&oacute;modo lo convierte en la pieza perfecta para usar sola o como base para looks m&aacute;s elaborados.</p>";;;;;SI;;;;
top-rose;;;Color;Gris;;;;;55,000.00;26,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rose;;;Color;Negro;;;;;55,000.00;26,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;"Body loud";Superiores;Color;Blanco;Talle;S;;;50,000.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""173"" data-end=""440"">Este body polera confeccionado en lycra premium es la opci&oacute;n perfecta para quienes buscan un look elegante y c&oacute;modo al mismo tiempo. Su dise&ntilde;o cl&aacute;sico y vers&aacute;til se adapta f&aacute;cilmente a cualquier ocasi&oacute;n, brind&aacute;ndote un estilo impecable desde la ma&ntilde;ana hasta la noche.</p>
<ul data-start=""442"" data-end=""915"">
<li data-start=""442"" data-end=""579"">
<p data-start=""444"" data-end=""579""><strong data-start=""444"" data-end=""457"">Material:</strong> Lycra de alta calidad que se ajusta suavemente al cuerpo, realzando tu figura y ofreciendo una sensaci&oacute;n de segunda piel.</p>
</li>
<li data-start=""580"" data-end=""654"">
<p data-start=""582"" data-end=""654""><strong data-start=""582"" data-end=""593"">Dise&ntilde;o:</strong> Cuello polera que aporta un toque de distinci&oacute;n y elegancia.</p>
</li>
<li data-start=""655"" data-end=""781"">
<p data-start=""657"" data-end=""781""><strong data-start=""657"" data-end=""680"">Detalles pr&aacute;cticos:</strong> Broche ajustable en la entrepierna para facilitar el uso y garantizar comodidad durante todo el d&iacute;a.</p>
</li>
<li data-start=""782"" data-end=""915"">
<p data-start=""784"" data-end=""915""><strong data-start=""784"" data-end=""801"">Versatilidad:</strong> Ideal para combinar con pantalones de vestir, faldas o jeans, adapt&aacute;ndose a looks formales, femeninos o casuales.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""917"" data-end=""985"">Un b&aacute;sico sofisticado y funcional que no puede faltar en tu armario.</p>";;;;;SI;;;;
body-loud;;;Color;Blanco;Talle;M;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Blanco;Talle;L;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Blanco;Talle;XL;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Bordó;Talle;S;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Bordó;Talle;M;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Bordó;Talle;L;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Bordó;Talle;XL;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Marrón;Talle;S;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Marrón;Talle;M;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Marrón;Talle;L;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Marrón;Talle;XL;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Negro;Talle;S;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Negro;Talle;M;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Negro;Talle;L;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Negro;Talle;XL;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Visón;Talle;S;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Visón;Talle;M;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Visón;Talle;L;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
body-loud;;;Color;Visón;Talle;XL;;;50,000.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
